iter	Passed	Remaining
943	1576711	93533
944	1578324	91860
945	1580066	90194
946	1581781	88526
947	1583413	86853
948	1585006	85179
949	1586670	83508
950	1588299	81836
951	1590167	80176
952	1591912	78509
953	1593531	76836
954	1595212	75167
955	1596886	73496
956	1598542	71825
957	1600164	70153
958	1601909	68486
959	1603514	66813
960	1605168	65142
961	1606885	63473
962	1608558	61803
963	1610168	60130
964	1611909	58463
965	1613557	56791
966	1615147	55118
967	1616698	53444
968	1618361	51774
969	1620003	50103
970	1621670	48433
971	1623415	46765
972	1625021	45093
973	1626694	43423
974	1628333	41752
975	1630018	40082
976	1631729	38413
977	1633354	36742
978	1635004	35071
979	1636670	33401
980	1638440	31733
981	1640119	30063
982	1641700	28391
983	1643401	26721
984	1645120	25052
985	1646842	23383
986	1648494	21712
987	1650150	20042
988	1651912	18373
989	1653588	16702
990	1655311	15033
991	1657227	13364
992	1658944	11694
993	1660629	10023
994	1662478	8354
995	1664356	6684
996	1666106	5013
997	1667909	3342
998	1669693	1671
999	1671486	0
